qdot_boil,Pout_frac,Pout_time,mdot,T0,P0,accident,accident_time
15267.84201159724,0.09606125520912528,15.10032232279615,331.13910450319275,13.300452119558495,19.54677820408677,No accident,None
37933.09898673857,0.3407874841128375,25.734850931636295,328.43846072262556,14.638849579338382,35.37022495544339,No accident,None
46424.025649329364,0.12575354306722142,8.32238920024081,326.5445252519365,9.965710199976673,54.83102558810847,boiler meltdown,1.1343345093743618
16861.728250348275,0.05457932256601342,24.544265779419437,307.72154330823975,18.231123756274542,41.17360349589656,No accident,None
25384.478722032924,0.36402389460817663,5.250491930400603,339.31576792942695,18.96497134161293,19.30478726387938,boiler dryout,0.7351723042540729
12593.467739724167,0.4285852821440684,22.4148162018314,320.6394973193121,6.318989086238654,47.83324946973232,No accident,None
26656.740455600266,0.38343210325859184,23.485716157368685,323.2115811664649,15.851837574997266,40.73690321519019,No accident,None
29241.81762199007,0.39268075317669304,24.82859573920765,325.7142465222322,15.008408490441214,9.647504999568126,No accident,None
19129.304147373878,0.2835351758509659,9.773911787259085,325.83438205427086,8.157357351615307,32.515148329158414,No accident,None
14404.183709934792,0.06507565252907656,15.05267802246828,300.3155312764236,19.663454638509233,9.98486779574218,No accident,None
44748.09981542367,0.4525373569777949,8.85667490688649,323.3804623004274,5.020096113147282,31.030392894512776,boiler meltdown,1.2151949185975022
45510.493639546024,0.08970556449799283,28.41297279716985,329.6484706629713,13.425776554073673,37.05686485082771,turbine rotation limit,14.140759989141223
32233.162560183682,0.22183771742232222,25.327019324561626,310.32199254801844,15.771582348710936,47.277592459725774,No accident,None
37625.40244420168,0.1444648776870749,24.14166098473275,333.2984194243337,14.218588933475338,38.94546081609414,No accident,None
29604.677688006563,0.2721346445699925,26.91248648017204,333.15404834519296,13.894022754900368,38.969205325385786,No accident,None
42836.620092592915,0.4666990633890759,28.845277710675575,311.35215159359046,8.13611444889878,0.7078545489673171,No accident,None
49975.39866712356,0.05901358233786967,26.902029487805265,303.0667495257841,12.323101305010454,22.53811220574695,turbine rotation limit,7.452744156111801
30852.769476418434,0.4086980524748752,8.463352252673461,316.25570426491134,19.968590686240418,20.052013786287688,boiler dryout,0.6576326591568364
